visit_id,cookie_id,page_id,event_type,sequence_number,event_time
a6c424,c9f0f8,11,2,9,02/12/2020
5ef346,45c48c,1,1,1,02/07/2020
5ef346,45c48c,2,1,2,02/07/2020
5ef346,45c48c,3,1,3,02/07/2020
5ef346,45c48c,4,1,4,02/07/2020
5ef346,45c48c,5,1,5,02/07/2020
5ef346,45c48c,6,1,6,02/07/2020
5ef346,45c48c,11,1,7,02/07/2020
d39d35,d3d944,1,1,1,01/23/2020
d39d35,d3d944,2,1,2,01/23/2020
d39d35,d3d944,3,1,3,01/23/2020
d39d35,d3d944,4,1,4,01/23/2020
d39d35,d3d944,4,2,5,01/23/2020
d39d35,d3d944,6,1,6,01/23/2020
d39d35,d3d944,6,2,7,01/23/2020
d39d35,d3d944,9,1,8,01/23/2020
d39d35,d3d944,9,2,9,01/23/2020
d39d35,d3d944,12,1,10,01/23/2020
d39d35,d3d944,13,3,11,01/23/2020
9c2633,6512bd,1,1,1,01/17/2020
9c2633,6512bd,2,1,2,01/17/2020
9c2633,6512bd,4,1,3,01/17/2020
9c2633,6512bd,4,2,4,01/17/2020
9c2633,6512bd,7,1,5,01/17/2020
9c2633,6512bd,8,1,6,01/17/2020
9c2633,6512bd,9,1,7,01/17/2020
9c2633,6512bd,9,2,8,01/17/2020
9c2633,6512bd,10,1,9,01/17/2020
9c2633,6512bd,11,1,10,01/17/2020
d69e73,c20ad4,1,1,1,02/06/2020
d69e73,c20ad4,4,1,2,02/06/2020
d69e73,c20ad4,5,1,3,02/06/2020
d69e73,c20ad4,9,1,4,02/06/2020
d69e73,c20ad4,9,2,5,02/06/2020
d69e73,c20ad4,12,1,6,02/06/2020
c70085,c51ce4,1,1,1,02/12/2020
c70085,c51ce4,2,1,2,02/12/2020
c70085,c51ce4,4,1,3,02/12/2020
c70085,c51ce4,5,1,4,02/12/2020
c70085,c51ce4,10,1,5,02/12/2020
c70085,c51ce4,10,2,6,02/12/2020
c70085,c51ce4,12,1,7,02/12/2020
6a20a3,aab323,1,1,1,01/12/2020
6a20a3,aab323,2,1,2,01/12/2020
6a20a3,aab323,3,1,3,01/12/2020
6a20a3,aab323,3,2,4,01/12/2020
6a20a3,aab323,5,1,5,01/12/2020
6a20a3,aab323,6,1,6,01/12/2020
6a20a3,aab323,10,1,7,01/12/2020
6a20a3,aab323,11,1,8,01/12/2020
6a20a3,aab323,12,1,9,01/12/2020
4b5d1b,9bf31c,1,1,1,01/28/2020
4b5d1b,9bf31c,2,1,2,01/28/2020
4b5d1b,9bf31c,3,1,3,01/28/2020
4b5d1b,9bf31c,3,2,4,01/28/2020
4b5d1b,9bf31c,9,1,5,01/28/2020
4b5d1b,9bf31c,9,2,6,01/28/2020
4b5d1b,9bf31c,11,1,7,01/28/2020
4b5d1b,9bf31c,12,1,8,01/28/2020
4b5d1b,9bf31c,13,3,9,01/28/2020
69440b,c74d97,1,1,1,01/06/2020
69440b,c74d97,2,1,2,01/06/2020
69440b,c74d97,11,1,3,01/06/2020
69440b,c74d97,11,2,4,01/06/2020
69440b,c74d97,12,1,5,01/06/2020
69440b,c74d97,13,3,6,01/06/2020
e70fd5,70efdf,1,1,1,02/17/2020
e70fd5,70efdf,2,1,2,02/17/2020
e70fd5,70efdf,4,1,3,02/17/2020
e70fd5,70efdf,4,2,4,02/17/2020
e70fd5,70efdf,6,1,5,02/17/2020
e70fd5,70efdf,6,2,6,02/17/2020
e70fd5,70efdf,9,1,7,02/17/2020
e70fd5,70efdf,11,1,8,02/17/2020
e70fd5,70efdf,12,1,9,02/17/2020
48810d,6f4922,1,1,1,02/29/2020
48810d,6f4922,2,1,2,02/29/2020
48810d,6f4922,8,1,3,02/29/2020
48810d,6f4922,9,1,4,02/29/2020
fdf383,1f0e3d,1,1,1,02/11/2020
fdf383,1f0e3d,2,1,2,02/11/2020
fdf383,1f0e3d,3,1,3,02/11/2020
fdf383,1f0e3d,3,2,4,02/11/2020
fdf383,1f0e3d,4,1,5,02/11/2020
fdf383,1f0e3d,5,1,6,02/11/2020
fdf383,1f0e3d,6,1,7,02/11/2020
fdf383,1f0e3d,12,1,8,02/11/2020
fdf383,1f0e3d,13,3,9,02/11/2020
378a75,98f137,1,1,1,02/12/2020
378a75,98f137,2,1,2,02/12/2020
378a75,98f137,8,1,3,02/12/2020
378a75,98f137,9,1,4,02/12/2020
a67606,3c59dc,1,1,1,02/14/2020
a67606,3c59dc,4,1,2,02/14/2020
a67606,3c59dc,8,1,3,02/14/2020
a67606,3c59dc,9,1,4,02/14/2020
a67606,3c59dc,9,2,5,02/14/2020
a67606,3c59dc,12,1,6,02/14/2020
a67606,3c59dc,13,3,7,02/14/2020
71740f,b6d767,1,1,1,02/08/2020
71740f,b6d767,2,1,2,02/08/2020
71740f,b6d767,4,1,3,02/08/2020
71740f,b6d767,4,2,4,02/08/2020
71740f,b6d767,5,1,5,02/08/2020
71740f,b6d767,6,1,6,02/08/2020
71740f,b6d767,7,1,7,02/08/2020
71740f,b6d767,7,2,8,02/08/2020
71740f,b6d767,8,1,9,02/08/2020
71740f,b6d767,8,2,10,02/08/2020
71740f,b6d767,9,1,11,02/08/2020
71740f,b6d767,9,2,12,02/08/2020
71740f,b6d767,10,1,13,02/08/2020
71740f,b6d767,10,2,14,02/08/2020
71740f,b6d767,11,1,15,02/08/2020
71740f,b6d767,11,2,16,02/08/2020
71740f,b6d767,12,1,17,02/08/2020
71740f,b6d767,13,3,18,02/08/2020
d7fa36,37693c,1,1,1,01/16/2020
d7fa36,37693c,2,1,2,01/16/2020
d7fa36,37693c,4,1,3,01/16/2020
d7fa36,37693c,5,1,4,01/16/2020
d7fa36,37693c,9,1,5,01/16/2020
2a5092,1ff1de,1,1,1,01/23/2020
2a5092,1ff1de,3,1,2,01/23/2020
2a5092,1ff1de,4,1,3,01/23/2020
2a5092,1ff1de,4,2,4,01/23/2020
2a5092,1ff1de,9,1,5,01/23/2020
2a5092,1ff1de,9,2,6,01/23/2020
2a5092,1ff1de,10,1,7,01/23/2020
2a5092,1ff1de,10,2,8,01/23/2020
2a5092,1ff1de,11,1,9,01/23/2020
2a5092,1ff1de,12,1,10,01/23/2020
2a5092,1ff1de,13,3,11,01/23/2020
ce1b65,8e296a,1,1,1,01/08/2020
ce1b65,8e296a,2,1,2,01/08/2020
ce1b65,8e296a,4,1,3,01/08/2020
ce1b65,8e296a,4,2,4,01/08/2020
ce1b65,8e296a,5,1,5,01/08/2020
ce1b65,8e296a,7,1,6,01/08/2020
ce1b65,8e296a,7,2,7,01/08/2020
ce1b65,8e296a,8,1,8,01/08/2020
ce1b65,8e296a,9,1,9,01/08/2020
ce1b65,8e296a,9,2,10,01/08/2020
ce1b65,8e296a,11,1,11,01/08/2020
ce1b65,8e296a,12,1,12,01/08/2020
ce1b65,8e296a,13,3,13,01/08/2020
8bfa80,4e732c,1,1,1,01/26/2020
8bfa80,4e732c,2,1,2,01/26/2020
8bfa80,4e732c,3,1,3,01/26/2020
8bfa80,4e732c,3,2,4,01/26/2020
8bfa80,4e732c,6,1,5,01/26/2020
8bfa80,4e732c,8,1,6,01/26/2020
8bfa80,4e732c,8,2,7,01/26/2020
8bfa80,4e732c,10,1,8,01/26/2020
37c63a,02e74f,1,1,1,01/31/2020
37c63a,02e74f,3,1,2,01/31/2020
37c63a,02e74f,3,2,3,01/31/2020
37c63a,02e74f,6,1,4,01/31/2020
37c63a,02e74f,9,1,5,01/31/2020
37c63a,02e74f,9,2,6,01/31/2020
37c63a,02e74f,10,1,7,01/31/2020
37c63a,02e74f,11,1,8,01/31/2020
37c63a,02e74f,11,2,9,01/31/2020
37c63a,02e74f,12,1,10,01/31/2020
37c63a,02e74f,13,3,11,01/31/2020
32a3fc,33e75f,1,1,1,02/29/2020
32a3fc,33e75f,2,1,2,02/29/2020
32a3fc,33e75f,3,1,3,02/29/2020
32a3fc,33e75f,4,1,4,02/29/2020
32a3fc,33e75f,5,1,5,02/29/2020
32a3fc,33e75f,5,2,6,02/29/2020
32a3fc,33e75f,7,1,7,02/29/2020
32a3fc,33e75f,7,2,8,02/29/2020
32a3fc,33e75f,8,1,9,02/29/2020
32a3fc,33e75f,10,1,10,02/29/2020
32a3fc,33e75f,12,1,11,02/29/2020
32a3fc,33e75f,13,3,12,02/29/2020
0813d2,6ea9ab,1,1,1,01/10/2020
0813d2,6ea9ab,2,1,2,01/10/2020
0813d2,6ea9ab,3,1,3,01/10/2020
0813d2,6ea9ab,3,2,4,01/10/2020
0813d2,6ea9ab,4,1,5,01/10/2020
0813d2,6ea9ab,4,2,6,01/10/2020
0813d2,6ea9ab,6,1,7,01/10/2020
0813d2,6ea9ab,6,2,8,01/10/2020
0813d2,6ea9ab,8,1,9,01/10/2020
0813d2,6ea9ab,9,1,10,01/10/2020
0813d2,6ea9ab,12,1,11,01/10/2020
0813d2,6ea9ab,13,3,12,01/10/2020
cd512e,34173c,1,1,1,02/02/2020
cd512e,34173c,3,1,2,02/02/2020
cd512e,34173c,3,2,3,02/02/2020
cd512e,34173c,6,1,4,02/02/2020
cd512e,34173c,7,1,5,02/02/2020
cd512e,34173c,7,2,6,02/02/2020
cd512e,34173c,12,1,7,02/02/2020
cd512e,34173c,13,3,8,02/02/2020
d193fc,c16a53,1,1,1,02/13/2020
d193fc,c16a53,4,1,2,02/13/2020
d193fc,c16a53,5,1,3,02/13/2020
d193fc,c16a53,5,2,4,02/13/2020
d193fc,c16a53,6,1,5,02/13/2020
d193fc,c16a53,8,1,6,02/13/2020
d193fc,c16a53,8,2,7,02/13/2020
d193fc,c16a53,10,1,8,02/13/2020
d193fc,c16a53,11,1,9,02/13/2020
4c98cd,6364d3,1,1,1,02/17/2020
4c98cd,6364d3,4,1,2,02/17/2020
4c98cd,6364d3,4,2,3,02/17/2020
4c98cd,6364d3,7,1,4,02/17/2020
4c98cd,6364d3,11,1,5,02/17/2020
4c98cd,6364d3,11,2,6,02/17/2020
4c98cd,6364d3,12,1,7,02/17/2020
4c98cd,6364d3,13,3,8,02/17/2020
8d7256,182be0,1,1,1,02/03/2020
8d7256,182be0,2,1,2,02/03/2020
8d7256,182be0,3,1,3,02/03/2020
8d7256,182be0,3,2,4,02/03/2020
8d7256,182be0,8,1,5,02/03/2020
8d7256,182be0,8,2,6,02/03/2020
8d7256,182be0,11,1,7,02/03/2020
97cca6,e36985,1,1,1,02/24/2020
97cca6,e36985,2,1,2,02/24/2020
97cca6,e36985,4,1,3,02/24/2020
97cca6,e36985,5,1,4,02/24/2020
97cca6,e36985,5,2,5,02/24/2020
97cca6,e36985,7,1,6,02/24/2020
97cca6,e36985,8,1,7,02/24/2020
97cca6,e36985,8,2,8,02/24/2020
97cca6,e36985,9,1,9,02/24/2020
97cca6,e36985,9,2,10,02/24/2020
97cca6,e36985,10,1,11,02/24/2020
97cca6,e36985,10,2,12,02/24/2020
97cca6,e36985,12,1,13,02/24/2020
97cca6,e36985,13,3,14,02/24/2020
6baa37,1c383c,1,1,1,01/22/2020
6baa37,1c383c,2,1,2,01/22/2020
6baa37,1c383c,3,1,3,01/22/2020
6baa37,1c383c,3,2,4,01/22/2020
6baa37,1c383c,4,1,5,01/22/2020
6baa37,1c383c,9,1,6,01/22/2020
6baa37,1c383c,9,2,7,01/22/2020
6baa37,1c383c,10,1,8,01/22/2020
6baa37,1c383c,10,2,9,01/22/2020
6baa37,1c383c,12,1,10,01/22/2020
6baa37,1c383c,13,3,11,01/22/2020
64fca2,19ca14,1,1,1,02/14/2020
64fca2,19ca14,2,1,2,02/14/2020
64fca2,19ca14,7,1,3,02/14/2020
64fca2,19ca14,8,1,4,02/14/2020
64fca2,19ca14,8,2,5,02/14/2020
64fca2,19ca14,10,1,6,02/14/2020
64fca2,19ca14,12,1,7,02/14/2020
64fca2,19ca14,13,3,8,02/14/2020
d214e6,a5bfc9,1,1,1,02/03/2020
d214e6,a5bfc9,2,1,2,02/03/2020
d214e6,a5bfc9,4,1,3,02/03/2020
d214e6,a5bfc9,4,2,4,02/03/2020
d214e6,a5bfc9,6,1,5,02/03/2020
d214e6,a5bfc9,6,2,6,02/03/2020
d214e6,a5bfc9,11,1,7,02/03/2020
d214e6,a5bfc9,12,1,8,02/03/2020
d214e6,a5bfc9,13,3,9,02/03/2020
97cf44,a5771b,1,1,1,01/28/2020
97cf44,a5771b,2,1,2,01/28/2020
97cf44,a5771b,3,1,3,01/28/2020
97cf44,a5771b,3,2,4,01/28/2020
97cf44,a5771b,5,1,5,01/28/2020
97cf44,a5771b,7,1,6,01/28/2020
97cf44,a5771b,7,2,7,01/28/2020
97cf44,a5771b,8,1,8,01/28/2020
97cf44,a5771b,8,2,9,01/28/2020
97cf44,a5771b,9,1,10,01/28/2020
97cf44,a5771b,9,2,11,01/28/2020
97cf44,a5771b,11,1,12,01/28/2020
97cf44,a5771b,12,1,13,01/28/2020
97cf44,a5771b,13,3,14,01/28/2020
f0e648,d67d8a,1,1,1,01/13/2020
f0e648,d67d8a,2,1,2,01/13/2020
f0e648,d67d8a,8,1,3,01/13/2020
f0e648,d67d8a,8,2,4,01/13/2020
f0e648,d67d8a,11,1,5,01/13/2020
f0e648,d67d8a,12,1,6,01/13/2020
f0e648,d67d8a,13,3,7,01/13/2020
8bfb23,d64592,1,1,1,02/07/2020
8bfb23,d64592,2,1,2,02/07/2020
8bfb23,d64592,3,1,3,02/07/2020
8bfb23,d64592,3,2,4,02/07/2020
8bfb23,d64592,4,1,5,02/07/2020
8bfb23,d64592,6,1,6,02/07/2020
8bfb23,d64592,6,2,7,02/07/2020
8bfb23,d64592,7,1,8,02/07/2020
8bfb23,d64592,8,1,9,02/07/2020
8bfb23,d64592,8,2,10,02/07/2020
8bfb23,d64592,9,1,11,02/07/2020
8bfb23,d64592,9,2,12,02/07/2020
8bfb23,d64592,10,1,13,02/07/2020
8bfb23,d64592,10,2,14,02/07/2020
8bfb23,d64592,12,1,15,02/07/2020
8bfb23,d64592,13,3,16,02/07/2020
aa6d31,3416a7,1,1,1,01/09/2020
aa6d31,3416a7,2,1,2,01/09/2020
aa6d31,3416a7,3,1,3,01/09/2020
aa6d31,3416a7,4,1,4,01/09/2020
aa6d31,3416a7,4,2,5,01/09/2020
aa6d31,3416a7,6,1,6,01/09/2020
aa6d31,3416a7,6,2,7,01/09/2020
aa6d31,3416a7,9,1,8,01/09/2020
aa6d31,3416a7,10,1,9,01/09/2020
d54641,a1d0c6,1,1,1,02/29/2020
d54641,a1d0c6,3,1,2,02/29/2020
d54641,a1d0c6,5,1,3,02/29/2020
d54641,a1d0c6,5,2,4,02/29/2020
d54641,a1d0c6,6,1,5,02/29/2020
d54641,a1d0c6,8,1,6,02/29/2020
d54641,a1d0c6,11,1,7,02/29/2020
d54641,a1d0c6,12,1,8,02/29/2020
d54641,a1d0c6,13,3,9,02/29/2020
f60bb1,17e621,1,1,1,02/22/2020
f60bb1,17e621,2,1,2,02/22/2020
f60bb1,17e621,8,1,3,02/22/2020
f60bb1,17e621,8,2,4,02/22/2020
f60bb1,17e621,10,1,5,02/22/2020
f60bb1,17e621,11,1,6,02/22/2020
f60bb1,17e621,12,1,7,02/22/2020
f60bb1,17e621,13,3,8,02/22/2020
cfbc1c,f71771,1,1,1,01/08/2020
cfbc1c,f71771,2,1,2,01/08/2020
cfbc1c,f71771,6,1,3,01/08/2020
cfbc1c,f71771,9,1,4,01/08/2020
cfbc1c,f71771,11,1,5,01/08/2020
cfbc1c,f71771,11,2,6,01/08/2020
cfbc1c,f71771,12,1,7,01/08/2020
cfbc1c,f71771,13,3,8,01/08/2020
cf849f,6c8349,1,1,1,02/09/2020
cf849f,6c8349,2,1,2,02/09/2020
cf849f,6c8349,3,1,3,02/09/2020
cf849f,6c8349,3,2,4,02/09/2020
cf849f,6c8349,4,1,5,02/09/2020
cf849f,6c8349,4,2,6,02/09/2020
cf849f,6c8349,6,1,7,02/09/2020
cf849f,6c8349,9,1,8,02/09/2020
cf849f,6c8349,11,1,9,02/09/2020
d400f3,d9d4f4,1,1,1,01/25/2020
d400f3,d9d4f4,2,1,2,01/25/2020
d400f3,d9d4f4,5,1,3,01/25/2020
d400f3,d9d4f4,5,2,4,01/25/2020
d400f3,d9d4f4,6,1,5,01/25/2020
d400f3,d9d4f4,6,2,6,01/25/2020
d400f3,d9d4f4,10,1,7,01/25/2020
d400f3,d9d4f4,12,1,8,01/25/2020
d400f3,d9d4f4,13,3,9,01/25/2020
a59fa0,67c6a1,1,1,1,02/20/2020
a59fa0,67c6a1,2,1,2,02/20/2020
a59fa0,67c6a1,3,1,3,02/20/2020
a59fa0,67c6a1,3,2,4,02/20/2020
a59fa0,67c6a1,9,1,5,02/20/2020
a59fa0,67c6a1,12,1,6,02/20/2020
3e7fc5,6.42E+94,1,1,1,02/21/2020
3e7fc5,6.42E+94,2,1,2,02/21/2020
3e7fc5,6.42E+94,3,1,3,02/21/2020
3e7fc5,6.42E+94,3,2,4,02/21/2020
3e7fc5,6.42E+94,4,1,5,02/21/2020
3e7fc5,6.42E+94,6,1,6,02/21/2020
3e7fc5,6.42E+94,7,1,7,02/21/2020
3e7fc5,6.42E+94,8,1,8,02/21/2020
3e7fc5,6.42E+94,8,2,9,02/21/2020
3e7fc5,6.42E+94,9,1,10,02/21/2020
7da3f2,f457c5,1,1,1,01/07/2020
7da3f2,f457c5,2,1,2,01/07/2020
7da3f2,f457c5,3,1,3,01/07/2020
7da3f2,f457c5,3,2,4,01/07/2020
7da3f2,f457c5,4,1,5,01/07/2020
7da3f2,f457c5,4,2,6,01/07/2020
7da3f2,f457c5,7,1,7,01/07/2020
7da3f2,f457c5,10,1,8,01/07/2020
7da3f2,f457c5,10,2,9,01/07/2020
7da3f2,f457c5,12,1,10,01/07/2020
d337c9,c0c7c7,1,1,1,02/13/2020
d337c9,c0c7c7,2,1,2,02/13/2020
d337c9,c0c7c7,6,1,3,02/13/2020
d337c9,c0c7c7,7,1,4,02/13/2020
d337c9,c0c7c7,9,1,5,02/13/2020
d337c9,c0c7c7,10,1,6,02/13/2020
d337c9,c0c7c7,10,2,7,02/13/2020
d337c9,c0c7c7,11,1,8,02/13/2020
d337c9,c0c7c7,12,1,9,02/13/2020
d337c9,c0c7c7,13,3,10,02/13/2020
fcc0cb,283802,1,1,1,01/04/2020
fcc0cb,283802,2,1,2,01/04/2020
fcc0cb,283802,4,1,3,01/04/2020
fcc0cb,283802,5,1,4,01/04/2020
fcc0cb,283802,5,2,5,01/04/2020
fcc0cb,283802,8,1,6,01/04/2020
fcc0cb,283802,8,2,7,01/04/2020
fcc0cb,283802,9,1,8,01/04/2020
fcc0cb,283802,10,1,9,01/04/2020
fcc0cb,283802,10,2,10,01/04/2020
fcc0cb,283802,11,1,11,01/04/2020
fcc0cb,283802,11,2,12,01/04/2020
fcc0cb,283802,12,1,13,01/04/2020
fcc0cb,283802,13,3,14,01/04/2020
85fdaf,9a1158,1,1,1,02/19/2020
85fdaf,9a1158,4,1,2,02/19/2020
85fdaf,9a1158,5,1,3,02/19/2020
85fdaf,9a1158,5,2,4,02/19/2020
85fdaf,9a1158,6,1,5,02/19/2020
85fdaf,9a1158,10,1,6,02/19/2020
85fdaf,9a1158,10,2,7,02/19/2020
9f4c50,d82c8d,1,1,1,02/06/2020
9f4c50,d82c8d,2,1,2,02/06/2020
9f4c50,d82c8d,3,1,3,02/06/2020
9f4c50,d82c8d,4,1,4,02/06/2020
9f4c50,d82c8d,4,2,5,02/06/2020
9f4c50,d82c8d,5,1,6,02/06/2020
9f4c50,d82c8d,7,1,7,02/06/2020
9f4c50,d82c8d,7,2,8,02/06/2020
9f4c50,d82c8d,8,1,9,02/06/2020
9f4c50,d82c8d,8,2,10,02/06/2020
9f4c50,d82c8d,9,1,11,02/06/2020
9f4c50,d82c8d,11,1,12,02/06/2020
9f4c50,d82c8d,11,2,13,02/06/2020
9f4c50,d82c8d,12,1,14,02/06/2020
9f4c50,d82c8d,13,3,15,02/06/2020
a4308c,a684ec,1,1,1,01/30/2020
a4308c,a684ec,2,1,2,01/30/2020
a4308c,a684ec,7,1,3,01/30/2020
a4308c,a684ec,7,2,4,01/30/2020
a4308c,a684ec,10,1,5,01/30/2020
a4308c,a684ec,10,2,6,01/30/2020
a4308c,a684ec,12,1,7,01/30/2020
a4308c,a684ec,13,3,8,01/30/2020
168168,b53b3a,1,1,1,01/26/2020
168168,b53b3a,2,1,2,01/26/2020
168168,b53b3a,3,1,3,01/26/2020
168168,b53b3a,3,2,4,01/26/2020
168168,b53b3a,5,1,5,01/26/2020
168168,b53b3a,5,2,6,01/26/2020
168168,b53b3a,6,1,7,01/26/2020
168168,b53b3a,6,2,8,01/26/2020
168168,b53b3a,7,1,9,01/26/2020
168168,b53b3a,7,2,10,01/26/2020
168168,b53b3a,8,1,11,01/26/2020
168168,b53b3a,8,2,12,01/26/2020
168168,b53b3a,9,1,13,01/26/2020
168168,b53b3a,9,2,14,01/26/2020
168168,b53b3a,12,1,15,01/26/2020
168168,b53b3a,13,3,16,01/26/2020
f09994,9f6140,1,1,1,02/24/2020
f09994,9f6140,2,1,2,02/24/2020
f09994,9f6140,3,1,3,02/24/2020
f09994,9f6140,4,1,4,02/24/2020
f09994,9f6140,6,1,5,02/24/2020
f09994,9f6140,6,2,6,02/24/2020
f09994,9f6140,7,1,7,02/24/2020
f09994,9f6140,11,1,8,02/24/2020
f09994,9f6140,12,1,9,02/24/2020
f09994,9f6140,13,3,10,02/24/2020
55d71b,72b32a,1,1,1,01/06/2020
55d71b,72b32a,4,1,2,01/06/2020
55d71b,72b32a,6,1,3,01/06/2020
55d71b,72b32a,6,2,4,01/06/2020
55d71b,72b32a,7,1,5,01/06/2020
55d71b,72b32a,12,1,6,01/06/2020
55d71b,72b32a,13,3,7,01/06/2020
e06c2d,66f041,1,1,1,01/26/2020
e06c2d,66f041,2,1,2,01/26/2020
e06c2d,66f041,3,1,3,01/26/2020
e06c2d,66f041,3,2,4,01/26/2020
e06c2d,66f041,6,1,5,01/26/2020
e06c2d,66f041,9,1,6,01/26/2020
e06c2d,66f041,9,2,7,01/26/2020
e06c2d,66f041,11,1,8,01/26/2020
e06c2d,66f041,11,2,9,01/26/2020
e06c2d,66f041,12,1,10,01/26/2020
e06c2d,66f041,13,3,11,01/26/2020
dd5d75,093f65,1,1,1,01/31/2020
dd5d75,093f65,2,1,2,01/31/2020
dd5d75,093f65,5,1,3,01/31/2020
dd5d75,093f65,5,2,4,01/31/2020
dd5d75,093f65,11,1,5,01/31/2020
dd5d75,093f65,12,1,6,01/31/2020
dd5d75,093f65,13,3,7,01/31/2020
723140,072b03,1,1,1,01/19/2020
723140,072b03,2,1,2,01/19/2020
723140,072b03,6,1,3,01/19/2020
723140,072b03,6,2,4,01/19/2020
723140,072b03,7,1,5,01/19/2020
723140,072b03,8,1,6,01/19/2020
723140,072b03,8,2,7,01/19/2020
723140,072b03,9,1,8,01/19/2020
723140,072b03,11,1,9,01/19/2020
723140,072b03,11,2,10,01/19/2020
723140,072b03,12,1,11,01/19/2020
ef4cdd,7f39f8,1,1,1,02/06/2020
ef4cdd,7f39f8,2,1,2,02/06/2020
ef4cdd,7f39f8,3,1,3,02/06/2020
ef4cdd,7f39f8,3,2,4,02/06/2020
ef4cdd,7f39f8,6,1,5,02/06/2020
ef4cdd,7f39f8,6,2,6,02/06/2020
ef4cdd,7f39f8,7,1,7,02/06/2020
ef4cdd,7f39f8,7,2,8,02/06/2020
ef4cdd,7f39f8,9,1,9,02/06/2020
ef4cdd,7f39f8,9,2,10,02/06/2020
ef4cdd,7f39f8,12,1,11,02/06/2020
ef4cdd,7f39f8,13,3,12,02/06/2020
bb75e2,44f683,1,1,1,02/04/2020
bb75e2,44f683,2,1,2,02/04/2020
bb75e2,44f683,3,1,3,02/04/2020
bb75e2,44f683,3,2,4,02/04/2020
bb75e2,44f683,4,1,5,02/04/2020
bb75e2,44f683,4,2,6,02/04/2020
bb75e2,44f683,5,1,7,02/04/2020
bb75e2,44f683,6,1,8,02/04/2020
